Date,Average
2/19/2017,0.120073
2/18/2017,0.1269925
2/17/2017,0.134636
2/16/2017,0.1354115
2/15/2017,0.1340155
2/14/2017,0.1349005
2/13/2017,0.1393245
2/12/2017,0.144394
2/11/2017,0.1460185
2/10/2017,0.145522
2/9/2017,0.148353
2/8/2017,0.153135
2/7/2017,0.1591945
2/6/2017,0.161175
2/5/2017,0.1625555
2/4/2017,0.1643425
2/3/2017,0.164629
2/2/2017,0.165424
2/1/2017,0.163195
1/31/2017,0.163704
1/30/2017,0.164744
1/29/2017,0.1655945
1/28/2017,0.1604845
1/27/2017,0.1499715
1/26/2017,0.146612
1/25/2017,0.146688
1/24/2017,0.1524315
1/23/2017,0.1601925
1/22/2017,0.1632945
1/21/2017,0.163325
1/20/2017,0.160111
1/19/2017,0.160961
1/18/2017,0.1668835
1/17/2017,0.174619
1/16/2017,0.1595235
1/15/2017,0.1382175
1/14/2017,0.1370665
1/13/2017,0.137221
1/12/2017,0.134894
1/11/2017,0.1407355
1/10/2017,0.148534
1/9/2017,0.149768
1/8/2017,0.1532875
1/7/2017,0.1552025
1/6/2017,0.1580895
1/5/2017,0.1679375
1/4/2017,0.1662775
1/3/2017,0.1568275
1/2/2017,0.1576385
1/1/2017,0.165691
12/31/2016,0.166969
12/30/2016,0.166372
12/29/2016,0.161177
12/28/2016,0.1544275
12/27/2016,0.1519135
12/26/2016,0.1436415
12/25/2016,0.1360265
12/24/2016,0.1386575
12/23/2016,0.1376715
12/22/2016,0.1342685
12/21/2016,0.135766
12/20/2016,0.1451785
12/19/2016,0.161232
12/18/2016,0.1666205
12/17/2016,0.167127
12/16/2016,0.1761375
12/15/2016,0.1758265
12/14/2016,0.161097
12/13/2016,0.175458
12/12/2016,0.1901285
12/11/2016,0.2015745
12/10/2016,0.2264795
12/9/2016,0.2374075
12/8/2016,0.2302455
12/7/2016,0.2262975
12/6/2016,0.239842
12/5/2016,0.2262915
12/4/2016,0.2010745
12/3/2016,0.190063
12/2/2016,0.1676265
12/1/2016,0.1494575
11/30/2016,0.1565615
11/29/2016,0.1643565
11/28/2016,0.1729895
11/27/2016,0.167313
11/26/2016,0.144802
