Date,Average
10/26/2016,0.95218
10/25/2016,0.9569025
10/24/2016,0.948276
10/23/2016,0.944037
10/22/2016,0.938176
10/21/2016,0.9214165
10/20/2016,0.9323655
10/19/2016,0.945127
10/18/2016,0.942191
10/17/2016,0.9364885
10/16/2016,0.942941
10/15/2016,0.931504
10/14/2016,0.9213555
10/13/2016,0.925448
10/12/2016,0.929875
10/11/2016,0.9358715
10/10/2016,0.950212
10/9/2016,0.9527725
10/8/2016,0.9451205
10/7/2016,0.9307335
10/6/2016,0.9252535
10/5/2016,0.9184385
10/4/2016,0.917725
10/3/2016,0.9167025
10/2/2016,0.9086255
10/1/2016,0.8977015
9/30/2016,0.896302
9/29/2016,0.8968835
9/28/2016,0.908178
9/27/2016,0.920507
9/26/2016,0.917047
9/25/2016,0.910216
9/24/2016,0.8944325
9/23/2016,0.8767425
9/22/2016,0.867142
9/21/2016,0.87971
9/20/2016,0.9179995
9/19/2016,0.893198
9/18/2016,0.858391
9/17/2016,0.883188
9/16/2016,0.8667525
9/15/2016,0.842385
9/14/2016,0.866929
9/13/2016,0.8490035
9/12/2016,0.798735
9/11/2016,0.807062
9/10/2016,0.806969
9/9/2016,0.782003
9/8/2016,0.7942545
9/7/2016,0.7954395
9/6/2016,0.8193985
9/5/2016,0.829063
9/4/2016,0.8467015
9/3/2016,0.870031
9/2/2016,0.8654225
9/1/2016,0.8717005
8/31/2016,0.878218
8/30/2016,0.8823985
8/29/2016,0.888535
8/28/2016,0.8991025
8/27/2016,0.9135465
8/26/2016,0.918158
8/25/2016,0.898652
8/24/2016,0.90074
8/23/2016,0.8961505
8/22/2016,0.8936615
8/21/2016,0.9099335
8/20/2016,0.916958
8/19/2016,0.962351
8/18/2016,0.9714175
8/17/2016,0.959255
8/16/2016,0.9319005
8/15/2016,0.883548
8/14/2016,0.8783805
8/13/2016,0.8849935
8/12/2016,0.907429
8/11/2016,0.875551
8/10/2016,0.855114
8/9/2016,0.893725
8/8/2016,0.9011295
8/7/2016,0.878388
8/6/2016,0.8729655
8/5/2016,0.8834245
8/4/2016,0.8790435
8/3/2016,0.862673
8/2/2016,0.831027
8/1/2016,0.791435
7/31/2016,0.8347275
7/30/2016,0.9085555
7/29/2016,0.9116705
7/28/2016,0.8510685
7/27/2016,0.850856
7/26/2016,0.89474
7/25/2016,0.958881
7/24/2016,1.050917
7/23/2016,1.15
7/22/2016,1.2
7/21/2016,1.275
7/20/2016,1.305
7/19/2016,1.38
7/18/2016,0.95782
